   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.416865   0.007733   0.015241   0.022975   0.000000  -0.000000  -0.005619  -0.000000  -0.000000   14.0000     0.2132
   -4.750     0.000  -0.395761   0.006973   0.014725   0.021698   0.000000  -0.000000  -0.004644  -0.000000  -0.000000   14.0000     0.2138
   -4.500     0.000  -0.374639   0.006251   0.014357   0.020608   0.000000  -0.000000  -0.003678  -0.000000  -0.000000   14.0000     0.2146
   -4.250     0.000  -0.353501   0.005568   0.013960   0.019527   0.000000  -0.000000  -0.002711  -0.000000  -0.000000   14.0000     0.2154
   -4.000     0.000  -0.332348   0.004924   0.013547   0.018471   0.000000  -0.000000  -0.001745  -0.000000  -0.000000   14.0000     0.2164
   -3.750     0.000  -0.311180   0.004319   0.013023   0.017342   0.000000  -0.000000  -0.000776  -0.000000  -0.000000   14.0000     0.2175
   -3.500     0.000  -0.289999   0.003753   0.012618   0.016372   0.000000  -0.000000   0.000185  -0.000000  -0.000000   14.0000     0.2187
   -3.250     0.000  -0.268804   0.003227   0.012437   0.015664   0.000000  -0.000000   0.001134  -0.000000  -0.000000   14.0000     0.2202
   -3.000     0.000  -0.247598   0.002740   0.012229   0.014969   0.000000  -0.000000   0.002082  -0.000000  -0.000000   14.0000     0.2219
   -2.750     0.000  -0.226381   0.002293   0.011954   0.014247   0.000000  -0.000000   0.003029  -0.000000  -0.000000   14.0000     0.2240
   -2.500     0.000  -0.205155   0.001886   0.011670   0.013556   0.000000  -0.000000   0.003974  -0.000000  -0.000000   14.0000     0.2264
   -2.250     0.000  -0.183919   0.001518   0.011384   0.012902   0.000000  -0.000000   0.004916  -0.000000  -0.000000   14.0000     0.2295
   -2.000     0.000  -0.162675   0.001190   0.011095   0.012285   0.000000  -0.000000   0.005856  -0.000000  -0.000000   14.0000     0.2333
   -1.750     0.000  -0.141423   0.000902   0.010804   0.011706   0.000000  -0.000000   0.006793  -0.000000  -0.000000   14.0000     0.2384
   -1.500     0.000  -0.120166   0.000654   0.010497   0.011151   0.000000  -0.000000   0.007727  -0.000000  -0.000000   14.0000     0.2452
