   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    9.000     0.000   0.956882   0.049900   0.020998   0.070898   0.000000  -0.000000   0.049360  -0.000000  -0.000000   14.0000     0.3801
    9.250     0.000   0.975992   0.051861   0.021220   0.073081   0.000000  -0.000000   0.050798  -0.000000  -0.000000   14.0000     0.3797
    9.500     0.000   0.994592   0.053849   0.021455   0.075304   0.000000  -0.000000   0.052421  -0.000000  -0.000000   14.0000     0.3792
    9.750     0.000   1.013508   0.056063   0.021654   0.077717   0.000000  -0.000000   0.054113  -0.000000   0.000000   14.0000     0.3787
   10.000     0.000   1.032903   0.058499   0.021891   0.080390   0.000000  -0.000000   0.055803  -0.000000  -0.000000   14.0000     0.3782
   10.250     0.000   1.053157   0.060880   0.022129   0.083008   0.000000  -0.000000   0.057097  -0.000000  -0.000000   14.0000     0.3779
   10.500     0.000   1.073799   0.063200   0.022394   0.085594   0.000000  -0.000000   0.058249  -0.000000  -0.000000   14.0000     0.3777
   10.750     0.000   1.090070   0.065298   0.022712   0.088010   0.000000   0.000000   0.060239  -0.000000  -0.000000   14.0000     0.3770


