   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    7.000     0.000   0.639952   0.019795   0.007564   0.027359   0.000000  -0.000000   0.086427   0.000000   0.000000   28.0000     0.1027
    7.250     0.000   0.660394   0.021085   0.007736   0.028821   0.000000  -0.000000   0.089006   0.000000  -0.000000   28.0000     0.1027
    7.500     0.000   0.680818   0.022414   0.007896   0.030311   0.000000  -0.000000   0.091595   0.000000   0.000000   28.0000     0.1027
    7.750     0.000   0.701150   0.023779   0.008101   0.031880   0.000000  -0.000000   0.094139   0.000000   0.000000   28.0000     0.1027
    8.000     0.000   0.721404   0.025174   0.008337   0.033511   0.000000  -0.000000   0.096661   0.000000  -0.000000   28.0000     0.1028
    8.250     0.000   0.741539   0.026613   0.008579   0.035192   0.000000  -0.000000   0.099167   0.000000   0.000000   28.0000     0.1028
    8.500     0.000   0.761766   0.028090   0.008800   0.036891   0.000000  -0.000000   0.101701   0.000000   0.000000   28.0000     0.1028
    8.750     0.000   0.781792   0.029596   0.009069   0.038666   0.000000  -0.000000   0.104189   0.000000   0.000000   28.0000     0.1027
    9.000     0.000   0.801612   0.031122   0.009406   0.040529   0.000000  -0.000000   0.106625   0.000000   0.000000   28.0000     0.1028
    9.250     0.000   0.821251   0.032686   0.009765   0.042451   0.000000  -0.000000   0.109035   0.000000   0.000000   28.0000     0.1027
    9.500     0.000   0.840932   0.034283   0.010105   0.044388   0.000000  -0.000000   0.111463   0.000000  -0.000000   28.0000     0.1027
    9.750     0.000   0.860615   0.035919   0.010419   0.046338   0.000000  -0.000000   0.113916   0.000000   0.000000   28.0000     0.1027
   10.000     0.000   0.880137   0.037580   0.010769   0.048349   0.000000  -0.000000   0.116339   0.000000   0.000000   28.0000     0.1026
   10.250     0.000   0.899539   0.039269   0.011138   0.050406   0.000000  -0.000000   0.118745   0.000000   0.000000   28.0000     0.1026
   10.500     0.000   0.918945   0.040986   0.011498   0.052484   0.000000  -0.000000   0.121160   0.000000   0.000000   28.0000     0.1025
   10.750     0.000   0.938167   0.042743   0.011857   0.054600   0.000000  -0.000000   0.123570   0.000000   0.000000   28.0000     0.1025
   11.000     0.000   0.957246   0.044512   0.012248   0.056760   0.000000  -0.000000   0.125959   0.000000   0.000000   28.0000     0.1024
   11.250     0.000   0.976226   0.046313   0.012641   0.058954   0.000000  -0.000000   0.128338   0.000000   0.000000   28.0000     0.1023
   11.500     0.000   0.995012   0.048134   0.013058   0.061192   0.000000  -0.000000   0.130696   0.000000   0.000000   28.0000     0.1022
   11.750     0.000   1.013624   0.049982   0.013484   0.063466   0.000000  -0.000000   0.133041   0.000000   0.000000   28.0000     0.1021
   12.000     0.000   1.031922   0.051827   0.013960   0.065787   0.000000  -0.000000   0.135361   0.000000   0.000000   28.0000     0.1020
   12.250     0.000   1.049458   0.053655   0.014541   0.068196   0.000000  -0.000000   0.137613   0.000000   0.000000   28.0000     0.1019
   12.500     0.000   1.067023   0.055507   0.015102   0.070608   0.000000  -0.000000   0.139880   0.000000   0.000000   28.0000     0.1018
   12.750     0.000   1.084401   0.057374   0.015660   0.073034   0.000000  -0.000000   0.142145   0.000000   0.000000   28.0000     0.1016
   13.000     0.000   1.101663   0.059276   0.016189   0.075465   0.000000  -0.000000   0.144410   0.000000   0.000000   28.0000     0.1015
