   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.750     0.000  -0.159467   0.001348   0.011564   0.012912   0.000000  -0.000000  -0.025593   0.000000  -0.000000   28.0000     0.3135
   -4.500     0.000  -0.140760   0.001068   0.011478   0.012545   0.000000  -0.000000  -0.023765   0.000000  -0.000000   28.0000     0.3078
   -4.250     0.000  -0.122292   0.000812   0.011398   0.012211   0.000000  -0.000000  -0.022046   0.000000  -0.000000   28.0000     0.2999
   -4.000     0.000  -0.103872   0.000594   0.011324   0.011918   0.000000  -0.000000  -0.020288   0.000000  -0.000000   28.0000     0.2898
   -3.750     0.000  -0.085398   0.000408   0.011231   0.011639   0.000000  -0.000000  -0.018526   0.000000  -0.000000   28.0000     0.2745
   -3.500     0.000  -0.067032   0.000257   0.011151   0.011408   0.000000  -0.000000  -0.016747   0.000000  -0.000000   28.0000     0.2508
   -3.250     0.000  -0.048865   0.000141   0.011066   0.011207   0.000000  -0.000000  -0.014906  -0.000000  -0.000000   28.0000     0.2128
   -3.000     0.000  -0.030834   0.000060   0.010969   0.011029   0.000000  -0.000000  -0.012983   0.000000  -0.000000   28.0000     0.1092
   -2.750     0.000  -0.013756   0.000014   0.010862   0.010876   0.000000  -0.000000  -0.010946  -0.000000   0.000000   28.0000     0.6783
   -2.500     0.000   0.004890   0.000004   0.010768   0.010772   0.000000  -0.000000  -0.009081   0.000000  -0.000000   28.0000     1.6296
   -2.250     0.000   0.020442   0.000030   0.010632   0.010662   0.000000  -0.000000  -0.006454   0.000000   0.000000   28.0000     1.1756
   -2.000     0.000   0.038003   0.000083   0.010530   0.010612   0.000000   0.000000  -0.004485  -0.000000   0.000000   28.0000     0.6000
   -1.750     0.000   0.053128   0.000168   0.010380   0.010548   0.000000  -0.000000  -0.001844   0.000000   0.000000   28.0000     0.4536
   -1.500     0.000   0.067592   0.000274   0.010180   0.010453   0.000000  -0.000000   0.000672   0.000000   0.000000   28.0000     0.4240
