xflr5 v6.47

Plane name :        SAVED V1
Polar name :        T1-28.0 m/s-VLM2
Freestream speed :  28.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
    7.250     0.000   0.488573   0.011603   0.006414   0.018017  -0.000000  -0.000000  -0.063733   0.000000   0.000000   28.0000     0.3888
    7.500     0.000   0.507493   0.012504   0.006511   0.019015  -0.000000  -0.000000  -0.067114   0.000000   0.000000   28.0000     0.3897
    7.750     0.000   0.526391   0.013437   0.006613   0.020050  -0.000000  -0.000000  -0.070494   0.000000   0.000000   28.0000     0.3906
    8.000     0.000   0.545266   0.014404   0.006715   0.021119  -0.000000  -0.000000  -0.073873   0.000000   0.000000   28.0000     0.3915
    8.250     0.000   0.564116   0.015403   0.006825   0.022228  -0.000000  -0.000000  -0.077249   0.000000   0.000000   28.0000     0.3922
    8.500     0.000   0.582942   0.016435   0.006940   0.023375  -0.000000  -0.000000  -0.080624   0.000000   0.000000   28.0000     0.3930
    8.750     0.000   0.601742   0.017499   0.007058   0.024557  -0.000000  -0.000000  -0.083997   0.000000   0.000000   28.0000     0.3937
    9.000     0.000   0.620516   0.018596   0.007182   0.025778  -0.000000  -0.000000  -0.087367   0.000000   0.000000   28.0000     0.3944
    9.250     0.000   0.639262   0.019724   0.007311   0.027036  -0.000000  -0.000000  -0.090735   0.000000   0.000000   28.0000     0.3951
    9.500     0.000   0.657981   0.020884   0.007449   0.028333  -0.000000  -0.000000  -0.094100   0.000000   0.000000   28.0000     0.3957
    9.750     0.000   0.676671   0.022076   0.007593   0.029669  -0.000000  -0.000000  -0.097462   0.000000   0.000000   28.0000     0.3963
   10.000     0.000   0.695332   0.023298   0.007747   0.031045  -0.000000  -0.000000  -0.100820   0.000000   0.000000   28.0000     0.3969
   10.250     0.000   0.713962   0.024552   0.007920   0.032472  -0.000000  -0.000000  -0.104175   0.000000   0.000000   28.0000     0.3974
   10.500     0.000   0.732561   0.025837   0.008113   0.033949  -0.000000  -0.000000  -0.107526   0.000000   0.000000   28.0000     0.3979
   10.750     0.000   0.751129   0.027152   0.008324   0.035476  -0.000000  -0.000000  -0.110873   0.000000   0.000000   28.0000     0.3985
   11.000     0.000   0.769664   0.028497   0.008546   0.037043  -0.000000  -0.000000  -0.114216   0.000000   0.000000   28.0000     0.3990
   11.250     0.000   0.788165   0.029872   0.008782   0.038654  -0.000000  -0.000000  -0.117554   0.000000   0.000000   28.0000     0.3995
   11.500     0.000   0.806633   0.031277   0.009035   0.040311  -0.000000  -0.000000  -0.120887   0.000000  -0.000000   28.0000     0.3999
   11.750     0.000   0.825066   0.032711   0.009318   0.042029  -0.000000  -0.000000  -0.124216   0.000000   0.000000   28.0000     0.4004
   12.000     0.000   0.843463   0.034174   0.009612   0.043786  -0.000000  -0.000000  -0.127540   0.000000   0.000000   28.0000     0.4009
   12.250     0.000   0.861824   0.035666   0.009918   0.045584  -0.000000  -0.000000  -0.130859   0.000000   0.000000   28.0000     0.4013
   12.500     0.000   0.880148   0.037187   0.010220   0.047407  -0.000000  -0.000000  -0.134173   0.000000   0.000000   28.0000     0.4017
   12.750     0.000   0.898435   0.038736   0.010523   0.049259  -0.000000  -0.000000  -0.137481   0.000000   0.000000   28.0000     0.4022
   13.000     0.000   0.916683   0.040313   0.010815   0.051128  -0.000000  -0.000000  -0.140783   0.000000  -0.000000   28.0000     0.4026
   13.250     0.000   0.934891   0.041917   0.011106   0.053023  -0.000000  -0.000000  -0.144079   0.000000   0.000000   28.0000     0.4030
   13.500     0.000   0.953060   0.043549   0.011412   0.054961  -0.000000  -0.000000  -0.147368   0.000000   0.000000   28.0000     0.4034
   13.750     0.000   0.971189   0.045208   0.011727   0.056935  -0.000000  -0.000000  -0.150650   0.000000   0.000000   28.0000     0.4038
   14.000     0.000   0.989276   0.046893   0.012056   0.058949  -0.000000  -0.000000  -0.153926   0.000000   0.000000   28.0000     0.4042
   14.250     0.000   1.007321   0.048605   0.012402   0.061007  -0.000000  -0.000000  -0.157194   0.000000   0.000000   28.0000     0.4046
   14.500     0.000   1.025323   0.050343   0.012761   0.063103  -0.000000  -0.000000  -0.160456   0.000000  -0.000000   28.0000     0.4050
   14.750     0.000   1.043282   0.052106   0.013124   0.065230  -0.000000  -0.000000  -0.163710   0.000000   0.000000   28.0000     0.4053
   15.000     0.000   1.061197   0.053895   0.013494   0.067388  -0.000000  -0.000000  -0.166956   0.000000   0.000000   28.0000     0.4057
   15.250     0.000   1.079067   0.055708   0.013879   0.069587  -0.000000  -0.000000  -0.170194   0.000000   0.000000   28.0000     0.4061
   15.500     0.000   1.096891   0.057546   0.014346   0.071892  -0.000000  -0.000000  -0.173429   0.000000  -0.000000   28.0000     0.4065
   15.750     0.000   1.114670   0.059409   0.014869   0.074277  -0.000000  -0.000000  -0.176658   0.000000  -0.000000   28.0000     0.4068
   16.000     0.000   1.132401   0.061295   0.015396   0.076690  -0.000000  -0.000000  -0.179876   0.000000   0.000000   28.0000     0.4072
   16.250     0.000   1.150086   0.063205   0.015911   0.079116  -0.000000  -0.000000  -0.183086   0.000000  -0.000000   28.0000     0.4076
   16.500     0.000   1.167722   0.065137   0.016441   0.081579  -0.000000  -0.000000  -0.186287   0.000000   0.000000   28.0000     0.4079
   16.750     0.000   1.185309   0.067093   0.017026   0.084119  -0.000000  -0.000000  -0.189482   0.000000   0.000000   28.0000     0.4083
   17.000     0.000   1.202847   0.069070   0.017683   0.086753  -0.000000  -0.000000  -0.192674   0.000000  -0.000000   28.0000     0.4087
   17.250     0.000   1.220335   0.071070   0.018538   0.089608  -0.000000  -0.000000  -0.195873   0.000000  -0.000000   28.0000     0.4090


