 1.00000     0.00000
 0.99820    -0.00011
 0.99274    -0.00041
 0.98349    -0.00082
 0.97039    -0.00106
 0.95364    -0.00086
 0.93353    -0.00014
 0.91024     0.00117
 0.88405     0.00312
 0.85522     0.00574
 0.82407     0.00910
 0.79097     0.01314
 0.75626     0.01781
 0.72029     0.02301
 0.68344     0.02858
 0.64601     0.03433
 0.60827     0.04008
 0.57053     0.04559
 0.53284     0.05056
 0.49518     0.05494
 0.45780     0.05878
 0.42086     0.06200
 0.38456     0.06461
 0.34909     0.06653
 0.31461     0.06772
 0.28129     0.06821
 0.24930     0.06793
 0.21875     0.06690
 0.18982     0.06512
 0.16261     0.06259
 0.13721     0.05938
 0.11377     0.05549
 0.09233     0.05095
 0.07298     0.04589
 0.05580     0.04035
 0.04081     0.03443
 0.02811     0.02826
 0.01774     0.02193
 0.00971     0.01563
 0.00415     0.00944
 0.00099     0.00350
 0.00020    -0.00157
 0.00278    -0.00583
 0.00893    -0.01002
 0.01789    -0.01423
 0.02953    -0.01826
 0.04370    -0.02196
 0.06038    -0.02508
 0.07968    -0.02749
 0.10168    -0.02932
 0.12626    -0.03068
 0.15320    -0.03162
 0.18243    -0.03214
 0.21375    -0.03231
 0.24695    -0.03210
 0.28186    -0.03160
 0.31824    -0.03084
 0.35587    -0.02983
 0.39453    -0.02862
 0.43393    -0.02726
 0.47384    -0.02576
 0.51400    -0.02418
 0.55412    -0.02252
 0.59396    -0.02082
 0.63323    -0.01911
 0.67168    -0.01740
 0.70905    -0.01573
 0.74508    -0.01409
 0.77953    -0.01251
 0.81216    -0.01100
 0.84275    -0.00956
 0.87109    -0.00819
 0.89698    -0.00691
 0.92026    -0.00570
 0.94075    -0.00456
 0.95833    -0.00348
 0.97289    -0.00243
 0.98445    -0.00142
 0.99295    -0.00061
 0.99821    -0.00014
 1.00000     0.00000
