Alpha,T1_Re0.010_M0.08_N9.0, , Alpha,T1_Re0.020_M0.08_N9.0, , Alpha,T1_Re0.030_M0.08_N9.0, , Alpha,T1_Re0.040_M0.08_N9.0, , Alpha,T1_Re0.050_M0.08_N9.0, , Alpha,T1_Re0.060_M0.08_N9.0, , Alpha,T1_Re0.070_M0.08_N9.0, , Alpha,T1_Re0.080_M0.08_N9.0, , Alpha,T1_Re0.090_M0.08_N9.0, , Alpha,T1_Re0.100_M0.08_N9.0, , Alpha,T1_Re0.110_M0.08_N9.0, , Alpha,T1_Re0.120_M0.08_N9.0, , Alpha,T1_Re0.130_M0.08_N9.0, , Alpha,T1_Re0.140_M0.08_N9.0, , Alpha,T1_Re0.150_M0.08_N9.0, , Alpha,T1_Re0.160_M0.08_N9.0, , Alpha,T1_Re0.170_M0.08_N9.0, , Alpha,T1_Re0.180_M0.08_N9.0, , Alpha,T1_Re0.190_M0.08_N9.0, , Alpha,T1_Re0.200_M0.08_N9.0, , Alpha,T1_Re0.210_M0.08_N9.0, , Alpha,T1_Re0.220_M0.08_N9.0, , Alpha,T1_Re0.230_M0.08_N9.0, , Alpha,T1_Re0.240_M0.08_N9.0, , Alpha,T1_Re0.250_M0.08_N9.0, , Alpha,T1_Re0.260_M0.08_N9.0, , Alpha,T1_Re0.270_M0.08_N9.0, , Alpha,T1_Re0.280_M0.08_N9.0, , Alpha,T1_Re0.290_M0.08_N9.0, , Alpha,T1_Re0.300_M0.08_N9.0, , Alpha,T1_Re0.310_M0.08_N9.0, , Alpha,T1_Re0.320_M0.08_N9.0, , Alpha,T1_Re0.330_M0.08_N9.0, , Alpha,T1_Re0.340_M0.08_N9.0, , Alpha,T1_Re0.350_M0.08_N9.0, , Alpha,T1_Re0.360_M0.08_N9.0, , Alpha,T1_Re0.370_M0.08_N9.0, , Alpha,T1_Re0.380_M0.08_N9.0, , Alpha,T1_Re0.390_M0.08_N9.0, , Alpha,T1_Re0.400_M0.08_N9.0, , Alpha,T1_Re0.410_M0.08_N9.0, , Alpha,T1_Re0.420_M0.08_N9.0, , Alpha,T1_Re0.430_M0.08_N9.0, , Alpha,T1_Re0.440_M0.08_N9.0, , Alpha,T1_Re0.450_M0.08_N9.0, , Alpha,T1_Re0.460_M0.08_N9.0, , Alpha,T1_Re0.470_M0.08_N9.0, , Alpha,T1_Re0.480_M0.08_N9.0, , Alpha,T1_Re0.490_M0.08_N9.0, , Alpha,T1_Re0.500_M0.08_N9.0, , Alpha,T1_Re0.510_M0.08_N9.0, , Alpha,T1_Re0.520_M0.08_N9.0, , Alpha,T1_Re0.530_M0.08_N9.0, , Alpha,T1_Re0.540_M0.08_N9.0, , Alpha,T1_Re0.550_M0.08_N9.0, , Alpha,T1_Re0.560_M0.08_N9.0, , Alpha,T1_Re0.570_M0.08_N9.0, , Alpha,T1_Re0.580_M0.08_N9.0, , Alpha,T1_Re0.590_M0.08_N9.0, , Alpha,T1_Re0.600_M0.08_N9.0, , Alpha,T1_Re0.610_M0.08_N9.0, , Alpha,T1_Re0.620_M0.08_N9.0, , Alpha,T1_Re0.630_M0.08_N9.0, , Alpha,T1_Re0.640_M0.08_N9.0, , Alpha,T1_Re0.650_M0.08_N9.0, , Alpha,T1_Re0.660_M0.08_N9.0, , Alpha,T1_Re0.670_M0.08_N9.0, , Alpha,T1_Re0.680_M0.08_N9.0, , Alpha,T1_Re0.690_M0.08_N9.0, , Alpha,T1_Re0.700_M0.08_N9.0, , Alpha,T1_Re0.710_M0.08_N9.0, , Alpha,T1_Re0.720_M0.08_N9.0, , Alpha,T1_Re0.730_M0.08_N9.0, , Alpha,T1_Re0.740_M0.08_N9.0, , Alpha,T1_Re0.750_M0.08_N9.0, , Alpha,T1_Re0.760_M0.08_N9.0, , Alpha,T1_Re0.770_M0.08_N9.0, , Alpha,T1_Re0.780_M0.08_N9.0, , Alpha,T1_Re0.790_M0.08_N9.0, , Alpha,T1_Re0.800_M0.08_N9.0, , Alpha,T1_Re0.810_M0.08_N9.0, , Alpha,T1_Re0.820_M0.08_N9.0, , Alpha,T1_Re0.830_M0.08_N9.0, , Alpha,T1_Re0.840_M0.08_N9.0, , Alpha,T1_Re0.850_M0.08_N9.0, , Alpha,T1_Re0.860_M0.08_N9.0, , Alpha,T1_Re0.870_M0.08_N9.0, , Alpha,T1_Re0.880_M0.08_N9.0, , Alpha,T1_Re0.890_M0.08_N9.0, , Alpha,T1_Re0.900_M0.08_N9.0, , Alpha,T1_Re0.910_M0.08_N9.0, , Alpha,T1_Re0.920_M0.08_N9.0, , Alpha,T1_Re0.930_M0.08_N9.0, , Alpha,T1_Re0.940_M0.08_N9.0, , Alpha,T1_Re0.950_M0.08_N9.0, , Alpha,T1_Re0.960_M0.08_N9.0, , Alpha,T1_Re0.970_M0.08_N9.0, , Alpha,T1_Re0.980_M0.08_N9.0, , Alpha,T1_Re0.990_M0.08_N9.0, , Alpha,T1_Re1.000_M0.08_N9.0, , Alpha,T1_Re1.010_M0.08_N9.0, , Alpha,T1_Re1.020_M0.08_N9.0, , Alpha,T1_Re1.030_M0.08_N9.0, , Alpha,T1_Re1.040_M0.08_N9.0, , Alpha,T1_Re1.050_M0.08_N9.0, , Alpha,T1_Re1.060_M0.08_N9.0, , Alpha,T1_Re1.070_M0.08_N9.0, , Alpha,T1_Re1.080_M0.08_N9.0, , Alpha,T1_Re1.090_M0.08_N9.0, , Alpha,T1_Re1.100_M0.08_N9.0, , Alpha,T1_Re1.110_M0.08_N9.0, , Alpha,T1_Re1.120_M0.08_N9.0, , Alpha,T1_Re1.130_M0.08_N9.0, , Alpha,T1_Re1.140_M0.08_N9.0, , Alpha,T1_Re1.150_M0.08_N9.0, , Alpha,T1_Re1.160_M0.08_N9.0, , Alpha,T1_Re1.170_M0.08_N9.0, , Alpha,T1_Re1.180_M0.08_N9.0, , Alpha,T1_Re1.190_M0.08_N9.0, , Alpha,T1_Re1.200_M0.08_N9.0, , Alpha,T1_Re1.210_M0.08_N9.0, , Alpha,T1_Re1.220_M0.08_N9.0, , Alpha,T1_Re1.230_M0.08_N9.0, , Alpha,T1_Re1.240_M0.08_N9.0, , Alpha,T1_Re1.250_M0.08_N9.0, , Alpha,T1_Re1.260_M0.08_N9.0, , Alpha,T1_Re1.270_M0.08_N9.0, , Alpha,T1_Re1.280_M0.08_N9.0, , Alpha,T1_Re1.290_M0.08_N9.0, , Alpha,T1_Re1.300_M0.08_N9.0, , Alpha,T1_Re1.310_M0.08_N9.0, , Alpha,T1_Re1.320_M0.08_N9.0, , Alpha,T1_Re1.330_M0.08_N9.0, , Alpha,T1_Re1.340_M0.08_N9.0, , Alpha,T1_Re1.350_M0.08_N9.0, , Alpha,T1_Re1.360_M0.08_N9.0, , Alpha,T1_Re1.370_M0.08_N9.0, , Alpha,T1_Re1.380_M0.08_N9.0, , Alpha,T1_Re1.390_M0.08_N9.0, , Alpha,T1_Re1.400_M0.08_N9.0, , Alpha,T1_Re1.410_M0.08_N9.0, , Alpha,T1_Re1.420_M0.08_N9.0, , Alpha,T1_Re1.430_M0.08_N9.0, , Alpha,T1_Re1.440_M0.08_N9.0, , Alpha,T1_Re1.450_M0.08_N9.0, , Alpha,T1_Re1.460_M0.08_N9.0, , Alpha,T1_Re1.470_M0.08_N9.0, , Alpha,T1_Re1.480_M0.08_N9.0, , Alpha,T1_Re1.490_M0.08_N9.0, , Alpha,T1_Re1.500_M0.08_N9.0, , 
           -5,    -0.1626633, ,          -4.5,    -0.1248784, ,            -5,     -0.593998, ,            -5,    -0.6195586, ,            -5,    -0.6192791, ,            -5,    -0.6182203, ,            -5,    -0.6169923, ,            -5,    -0.6163255, ,            -5,     -0.615948, ,            -5,    -0.6161237, ,            -5,    -0.6161386, ,            -5,    -0.6168458, ,            -5,    -0.6172346, ,            -5,     -0.617769, ,            -5,    -0.6185918, ,            -5,    -0.6190037, ,            -5,    -0.6197318, ,            -5,    -0.6206461, ,            -5,    -0.6212569, ,          -4.5,     -0.580723, ,            -5,    -0.6226457, ,            -5,    -0.6234519, ,            -5,     -0.624084, ,            -5,    -0.6245463, ,            -5,    -0.6253312, ,            -5,    -0.6261491, ,            -5,    -0.6268296, ,            -5,    -0.6274291, ,            -5,    -0.6279642, ,            -5,     -0.628575, ,            -5,     -0.629343, ,            -5,    -0.6300527, ,            -5,    -0.6307017, ,            -5,    -0.6312882, ,            -5,    -0.6318125, ,            -5,    -0.6322992, ,            -5,    -0.6328431, ,            -5,    -0.6334976, ,            -5,    -0.6341078, ,            -5,    -0.6346717, ,            -5,    -0.6351972, ,            -5,    -0.6356873, ,            -5,     -0.636147, ,            -5,    -0.6365887, ,          -4.5,     -0.568065, ,            -5,    -0.6375608, ,            -5,    -0.6369304, ,            -5,    -0.6339438, ,            -5,    -0.6310745, ,            -5,    -0.6283088, ,            -5,    -0.6256363, ,            -5,    -0.6230448, ,            -5,    -0.6205274, ,            -5,    -0.6180796, ,            -5,    -0.6156965, ,            -5,    -0.6133744, ,            -5,    -0.6111108, ,            -5,     -0.608903, ,            -5,    -0.6067486, ,            -5,    -0.6046437, ,            -5,    -0.6025917, ,            -5,    -0.6005923, ,            -5,    -0.5986436, ,            -5,    -0.5967447, ,            -5,    -0.5952805, ,            -5,    -0.5939912, ,            -5,    -0.5927063, ,            -5,    -0.5914287, ,            -5,    -0.5901622, ,            -5,    -0.5889103, ,            -5,    -0.5876757, ,            -5,    -0.5864603, ,            -5,    -0.5852878, ,            -5,    -0.5841344, ,            -5,    -0.5829958, ,            -5,    -0.5818699, ,            -5,    -0.5807599, ,            -5,    -0.5796663, ,            -5,    -0.5785893, ,            -5,     -0.577529, ,            -5,    -0.5764856, ,            -5,    -0.5754592, ,            -5,    -0.5744491, ,            -5,    -0.5734554, ,            -5,     -0.572478, ,            -5,    -0.5715168, ,            -5,    -0.5705702, ,            -5,    -0.5696382, ,            -5,    -0.5687216, ,            -5,    -0.5678203, ,            -5,    -0.5669345, ,            -5,    -0.5660639, ,            -5,    -0.5652076, ,            -5,    -0.5643636, ,            -5,     -0.563531, ,            -5,    -0.5627085, ,            -5,    -0.5618957, ,            -5,    -0.5610932, ,            -5,    -0.5603014, ,            -5,    -0.5595204, ,          -4.5,    -0.4893813, ,          -4.5,    -0.4894168, ,            -5,     -0.557241, ,            -5,    -0.5565043, ,            -5,    -0.5557819, ,            -5,    -0.5550753, ,            -5,    -0.5543863, ,            -5,    -0.5537172, ,            -5,    -0.5530712, ,            -5,    -0.5524521, ,            -5,    -0.5518723, ,            -5,    -0.5513171, ,            -5,    -0.5507774, ,            -5,     -0.550253, ,            -5,    -0.5497439, ,            -5,    -0.5492501, ,            -5,    -0.5487723, ,            -5,    -0.5483093, ,            -5,    -0.5478608, ,            -5,    -0.5474263, ,            -5,    -0.5470049, ,            -5,    -0.5465953, ,          -4.5,    -0.4868095, ,          -4.5,    -0.4867115, ,            -5,    -0.5454154, ,            -5,    -0.5450266, ,            -5,     -0.544634, ,            -5,     -0.544247, ,            -5,    -0.5438684, ,            -5,    -0.5434981, ,            -5,    -0.5431359, ,            -5,    -0.5427813, ,            -5,    -0.5424344, ,            -5,     -0.542095, ,            -5,    -0.5417626, ,            -5,    -0.5414373, ,            -5,    -0.5413019, ,            -5,    -0.5414681, ,            -5,    -0.5416016, ,            -5,    -0.5417088, ,            -5,    -0.5417961, ,            -5,    -0.5418671, ,            -5,     -0.541925, ,            -5,    -0.5419723, ,            -5,    -0.5420114, ,            -5,    -0.5420444, ,            -5,    -0.5420731, ,            -5,    -0.5420992, ,            -5,    -0.5421209, ,            -5,    -0.5421417, , 
         -4.5,    -0.1461967, ,            -4,     -0.106289, ,          -4.5,    -0.5071451, ,          -4.5,    -0.5798696, ,          -4.5,     -0.582107, ,          -4.5,    -0.5812676, ,          -4.5,    -0.5800402, ,          -4.5,    -0.5791645, ,          -4.5,    -0.5784904, ,          -4.5,    -0.5782117, ,          -4.5,    -0.5779006, ,          -4.5,    -0.5781797, ,          -4.5,    -0.5781544, ,          -4.5,    -0.5784925, ,          -4.5,    -0.5788204, ,          -4.5,    -0.5788757, ,          -4.5,    -0.5795339, ,          -4.5,    -0.5799872, ,          -4.5,    -0.5802283, ,            -4,    -0.5382645, ,          -4.5,    -0.5813583, ,          -4.5,    -0.5818101, ,          -4.5,     -0.582141, ,          -4.5,    -0.5826963, ,          -4.5,    -0.5833482, ,          -4.5,    -0.5838987, ,          -4.5,    -0.5843628, ,          -4.5,    -0.5847326, ,          -4.5,     -0.585314, ,          -4.5,    -0.5859388, ,          -4.5,    -0.5864892, ,          -4.5,    -0.5869481, ,          -4.5,    -0.5873364, ,          -4.5,    -0.5877226, ,          -4.5,     -0.588288, ,          -4.5,     -0.588786, ,          -4.5,    -0.5892351, ,          -4.5,    -0.5896484, ,          -4.5,    -0.5899615, ,          -4.5,    -0.5858479, ,            -4,    -0.5053834, ,            -4,    -0.5024942, ,          -4.5,    -0.5747245, ,            -4,    -0.4968332, ,            -4,    -0.4940656, ,          -4.5,    -0.5649259, ,          -4.5,     -0.561863, ,          -4.5,    -0.5588736, ,          -4.5,    -0.5559576, ,          -4.5,    -0.5531148, ,          -4.5,    -0.5510036, ,          -4.5,    -0.5490511, ,          -4.5,    -0.5471096, ,          -4.5,    -0.5451877, ,          -4.5,    -0.5432856, ,          -4.5,    -0.5414108, ,          -4.5,    -0.5395669, ,          -4.5,    -0.5377558, ,          -4.5,    -0.5359789, ,          -4.5,    -0.5342357, ,          -4.5,    -0.5325255, ,          -4.5,    -0.5308543, ,          -4.5,      -0.52922, ,          -4.5,    -0.5276186, ,          -4.5,      -0.52605, ,          -4.5,    -0.5245125, ,          -4.5,    -0.5230074, ,          -4.5,    -0.5215402, ,          -4.5,    -0.5201237, ,          -4.5,     -0.518732, ,          -4.5,    -0.5173654, ,          -4.5,    -0.5160248, ,          -4.5,    -0.5147098, ,          -4.5,    -0.5134202, ,          -4.5,    -0.5121559, ,          -4.5,    -0.5109152, ,          -4.5,    -0.5096978, ,          -4.5,    -0.5085012, ,          -4.5,    -0.5073275, ,          -4.5,    -0.5061766, ,          -4.5,    -0.5050484, ,          -4.5,    -0.5039434, ,          -4.5,    -0.5028624, ,          -4.5,    -0.5018068, ,          -4.5,    -0.5007788, ,          -4.5,    -0.4997822, ,          -4.5,    -0.4988223, ,          -4.5,    -0.4979071, ,          -4.5,     -0.497035, ,          -4.5,    -0.4961862, ,          -4.5,    -0.4953647, ,          -4.5,    -0.4945716, ,          -4.5,    -0.4938065, ,          -4.5,    -0.4930705, ,          -4.5,    -0.4923631, ,          -4.5,    -0.4916865, ,          -4.5,    -0.4910447, ,          -4.5,    -0.4904142, ,          -4.5,    -0.4897876, ,          -4.5,    -0.4892676, ,            -4,    -0.4300284, ,            -4,    -0.4297191, ,          -4.5,    -0.4893972, ,          -4.5,    -0.4893376, ,          -4.5,    -0.4892483, ,          -4.5,     -0.489137, ,          -4.5,    -0.4890091, ,          -4.5,     -0.488869, ,          -4.5,     -0.488723, ,          -4.5,    -0.4885717, ,          -4.5,    -0.4884169, ,          -4.5,    -0.4882576, ,          -4.5,    -0.4880961, ,          -4.5,    -0.4879357, ,          -4.5,    -0.4877784, ,          -4.5,    -0.4876259, ,          -4.5,    -0.4874807, ,          -4.5,    -0.4873434, ,          -4.5,     -0.487212, ,          -4.5,    -0.4870917, ,            -4,    -0.4304347, ,          -4.5,    -0.4868948, ,            -4,    -0.4305611, ,            -4,    -0.4306175, ,          -4.5,    -0.4865942, ,          -4.5,    -0.4864701, ,          -4.5,    -0.4863485, ,          -4.5,    -0.4862296, ,          -4.5,    -0.4861135, ,          -4.5,    -0.4860005, ,          -4.5,    -0.4858909, ,          -4.5,    -0.4857853, ,          -4.5,    -0.4856839, ,          -4.5,    -0.4855864, ,          -4.5,    -0.4854929, ,          -4.5,    -0.4854036, ,          -4.5,    -0.4853165, ,          -4.5,    -0.4852325, ,          -4.5,    -0.4851526, ,          -4.5,     -0.485077, ,          -4.5,    -0.4850057, ,          -4.5,     -0.484939, ,          -4.5,    -0.4848771, ,          -4.5,    -0.4848203, ,            -4,    -0.4326529, ,          -4.5,    -0.4849285, ,          -4.5,    -0.4850915, ,          -4.5,    -0.4852484, ,          -4.5,    -0.4854022, ,          -4.5,    -0.4855552, , 
           -4,    -0.1291081, ,          -3.5,   -0.08722439, ,            -4,    -0.4054776, ,            -4,    -0.5368022, ,            -4,    -0.5432551, ,            -4,    -0.5432894, ,            -4,    -0.5416356, ,            -4,    -0.5402886, ,            -4,     -0.539419, ,            -4,    -0.5385421, ,            -4,    -0.5380839, ,            -4,    -0.5377397, ,            -4,    -0.5375186, ,            -4,     -0.537475, ,            -4,    -0.5372539, ,            -4,     -0.537494, ,            -4,    -0.5376228, ,            -4,    -0.5375955, ,            -4,    -0.5379362, ,            -3,    -0.4485861, ,            -4,    -0.5384481, ,            -4,    -0.5385693, ,            -4,    -0.5390438, ,            -4,    -0.5393852, ,            -4,     -0.539626, ,            -4,    -0.5397736, ,            -4,     -0.540126, ,            -4,    -0.5405347, ,            -4,    -0.5408694, ,            -4,     -0.541143, ,            -4,    -0.5413906, ,            -4,     -0.541728, ,            -4,    -0.5403845, ,            -4,    -0.5351777, ,          -3.5,    -0.4525447, ,            -4,    -0.5255163, ,            -4,    -0.5209501, ,            -4,    -0.5165402, ,            -4,    -0.5122803, ,            -4,    -0.5082894, ,          -3.5,    -0.4298403, ,          -3.5,    -0.4264273, ,            -4,    -0.4996439, ,          -3.5,    -0.4199517, ,          -3.5,    -0.4169314, ,          -3.5,     -0.413997, ,            -4,    -0.4887552, ,            -4,     -0.486219, ,            -4,    -0.4837327, ,            -4,    -0.4812994, ,            -4,    -0.4789199, ,            -4,    -0.4765919, ,            -4,    -0.4743221, ,            -4,    -0.4721134, ,            -4,    -0.4699629, ,            -4,    -0.4678695, ,            -4,    -0.4658287, ,            -4,    -0.4638417, ,            -4,    -0.4619086, ,            -4,    -0.4600267, ,            -4,    -0.4581892, ,            -4,    -0.4563964, ,            -4,    -0.4546461, ,            -4,    -0.4529341, ,            -4,    -0.4512892, ,            -4,    -0.4497085, ,            -4,     -0.448169, ,            -4,    -0.4466764, ,            -4,    -0.4452399, ,            -4,    -0.4438751, ,            -4,    -0.4426823, ,            -4,    -0.4424942, ,            -4,    -0.4421429, ,            -4,    -0.4417024, ,            -4,    -0.4412101, ,            -4,    -0.4406873, ,            -4,    -0.4401467, ,            -4,    -0.4395965, ,            -4,    -0.4390347, ,            -4,    -0.4384674, ,            -4,    -0.4378958, ,            -4,    -0.4373373, ,            -4,    -0.4368248, ,            -4,    -0.4363483, ,            -4,    -0.4358846, ,            -4,    -0.4354347, ,            -4,    -0.4349999, ,            -4,    -0.4345823, ,            -4,     -0.434184, ,            -4,    -0.4338031, ,            -4,    -0.4334391, ,            -4,    -0.4330909, ,            -4,    -0.4327564, ,            -4,    -0.4324314, ,            -4,    -0.4321076, ,          -3.5,    -0.3748457, ,          -3.5,    -0.3748546, ,            -4,    -0.4310477, ,            -4,    -0.4306947, ,            -4,    -0.4303554, ,          -3.5,    -0.3748846, ,          -3.5,     -0.374893, ,            -4,    -0.4294319, ,            -4,    -0.4291925, ,            -4,     -0.428971, ,            -4,     -0.428762, ,            -4,    -0.4285657, ,            -4,    -0.4283823, ,            -4,    -0.4282119, ,            -4,    -0.4284935, ,            -4,    -0.4287821, ,            -4,    -0.4290395, ,            -4,    -0.4292707, ,            -4,    -0.4294794, ,            -4,    -0.4296675, ,            -4,     -0.429836, ,            -4,    -0.4299884, ,            -4,    -0.4301252, ,            -4,    -0.4302466, ,            -4,    -0.4303506, ,          -3.5,    -0.3772471, ,            -4,    -0.4305021, ,          -3.5,    -0.3775204, ,          -3.5,    -0.3776495, ,            -4,    -0.4306751, ,            -4,    -0.4307368, ,            -4,    -0.4308044, ,            -4,    -0.4308792, ,            -4,    -0.4309803, ,            -4,    -0.4310832, ,            -4,    -0.4311853, ,            -4,    -0.4312869, ,            -4,    -0.4313885, ,            -4,    -0.4314902, ,            -4,    -0.4315922, ,            -4,    -0.4316948, ,            -4,    -0.4317982, ,            -4,    -0.4319023, ,            -4,     -0.432006, ,            -4,    -0.4321101, ,            -4,    -0.4322145, ,            -4,    -0.4323187, ,            -4,    -0.4324223, ,            -4,    -0.4325272, ,          -3.5,    -0.3801487, ,            -4,    -0.4327746, ,            -4,    -0.4328925, ,            -4,    -0.4330071, ,            -4,    -0.4331186, ,            -4,    -0.4332264, , 
         -3.5,    -0.1114806, ,            -3,   -0.06818016, ,          -3.5,    -0.2482753, ,          -3.5,    -0.4748502, ,          -3.5,    -0.5035573, ,          -3.5,     -0.505267, ,          -3.5,    -0.5032063, ,          -3.5,    -0.5006244, ,          -3.5,    -0.4989135, ,          -3.5,    -0.4978194, ,          -3.5,    -0.4967521, ,          -3.5,    -0.4960517, ,          -3.5,    -0.4954691, ,          -3.5,    -0.4949357, ,          -3.5,     -0.494734, ,          -3.5,    -0.4944266, ,          -3.5,    -0.4942131, ,          -3.5,     -0.494146, ,          -3.5,    -0.4939641, ,          -2.5,    -0.3933443, ,          -3.5,    -0.4938935, ,          -3.5,    -0.4939523, ,          -3.5,    -0.4939643, ,            -3,    -0.4382613, ,          -3.5,    -0.4942377, ,          -3.5,    -0.4944685, ,          -3.5,    -0.4946458, ,          -3.5,    -0.4900794, ,            -3,    -0.4034782, ,          -3.5,    -0.4770812, ,          -3.5,    -0.4709625, ,          -3.5,    -0.4651344, ,          -3.5,    -0.4607606, ,          -3.5,    -0.4566335, ,            -3,    -0.3721772, ,          -3.5,    -0.4485241, ,          -3.5,    -0.4445854, ,          -3.5,      -0.44074, ,          -3.5,    -0.4369905, ,          -3.5,    -0.4333564, ,            -3,    -0.3557432, ,            -3,    -0.3530025, ,          -3.5,    -0.4231171, ,            -3,    -0.3475903, ,            -3,    -0.3449629, ,            -3,    -0.3424299, ,          -3.5,    -0.4111483, ,          -3.5,    -0.4083796, ,          -3.5,    -0.4061886, ,          -3.5,    -0.4051351, ,          -3.5,    -0.4037657, ,          -3.5,    -0.4022409, ,          -3.5,    -0.4006355, ,          -3.5,    -0.3989934, ,          -3.5,     -0.397346, ,          -3.5,    -0.3957223, ,          -3.5,    -0.3941491, ,          -3.5,    -0.3926924, ,          -3.5,    -0.3914126, ,          -3.5,    -0.3902093, ,          -3.5,     -0.389051, ,          -3.5,    -0.3879351, ,          -3.5,    -0.3868519, ,          -3.5,    -0.3857917, ,          -3.5,    -0.3847452, ,          -3.5,    -0.3837369, ,          -3.5,    -0.3827697, ,            -3,    -0.3205219, ,          -3.5,    -0.3809619, ,          -3.5,    -0.3801185, ,          -3.5,    -0.3793214, ,          -3.5,    -0.3785734, ,          -3.5,    -0.3778705, ,          -3.5,    -0.3772433, ,          -3.5,    -0.3766119, ,          -3.5,    -0.3759801, ,          -3.5,    -0.3753736, ,          -3.5,     -0.374793, ,          -3.5,    -0.3742387, ,          -3.5,    -0.3737109, ,          -3.5,    -0.3732093, ,          -3.5,    -0.3734451, ,          -3.5,    -0.3737549, ,          -3.5,     -0.373981, ,          -3.5,    -0.3741449, ,          -3.5,    -0.3742652, ,          -3.5,    -0.3743563, ,          -3.5,    -0.3744281, ,          -3.5,    -0.3744883, ,          -3.5,     -0.374562, ,          -3.5,    -0.3746686, ,          -3.5,    -0.3747515, ,          -3.5,    -0.3748016, ,          -3.5,    -0.3748208, ,          -3.5,    -0.3748348, ,            -3,    -0.3209014, ,            -3,    -0.3210653, ,          -3.5,    -0.3748628, ,          -3.5,    -0.3748712, ,          -3.5,    -0.3748777, ,            -3,    -0.3216817, ,            -3,    -0.3218261, ,          -3.5,    -0.3749033, ,          -3.5,    -0.3749161, ,          -3.5,     -0.374932, ,          -3.5,    -0.3749521, ,          -3.5,     -0.374972, ,          -3.5,     -0.374998, ,          -3.5,    -0.3751244, ,          -3.5,    -0.3753051, ,          -3.5,    -0.3754897, ,          -3.5,    -0.3757038, ,          -3.5,    -0.3759074, ,          -3.5,    -0.3761006, ,          -3.5,    -0.3762829, ,          -3.5,    -0.3764586, ,          -3.5,    -0.3766296, ,          -3.5,    -0.3767948, ,          -3.5,    -0.3769516, ,          -3.5,    -0.3771023, ,            -3,    -0.3243919, ,          -3.5,    -0.3773864, ,            -3,    -0.3246766, ,            -3,    -0.3248149, ,          -3.5,    -0.3777734, ,          -3.5,    -0.3778927, ,          -3.5,    -0.3780079, ,          -3.5,    -0.3781158, ,          -3.5,    -0.3782201, ,          -3.5,    -0.3783229, ,          -3.5,    -0.3784262, ,          -3.5,    -0.3785329, ,          -3.5,    -0.3786456, ,          -3.5,    -0.3787664, ,          -3.5,    -0.3789045, ,          -3.5,    -0.3790618, ,          -3.5,    -0.3792164, ,          -3.5,    -0.3793677, ,            -3,    -0.3262586, ,          -3.5,    -0.3796274, ,          -3.5,    -0.3797356, ,          -3.5,    -0.3798418, ,          -3.5,     -0.379946, ,          -3.5,    -0.3800484, ,            -3,    -0.3268668, ,          -3.5,    -0.3802471, ,          -3.5,    -0.3803433, ,          -3.5,    -0.3804375, ,          -3.5,    -0.3805295, ,          -3.5,    -0.3806193, , 
